,Number,Autor,Publication,Title,Journal,IF,DOI,Article name,Formula,Cat. compound,Support,"Cat./Support ratio, % (at)",Morphology (TEM/SEM),"Pore size, nm",width min (nm),width aver (nm),width max (nm),length min (nm),length aver (nm),length max (nm),"Cu, % (at.)","Cu+, % (at.)","Cu(2+), % (at.)",Base,electrolyte,"conc, M",pH,RHE vs V,Product,"FE, %","Time, h","Current density, mA/cm2",Type of reactor," Energy efficiency, %",Сarbon efficiency (equivalent to single-pass carbon efficiency (SPCE),"Loading, μg/cm2","Capacitance, (uF/cm2)","ECSA, cm2",R,"BET surface, m2/g"
294,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.05,C2H5OH,15.1,,-28.27,H-cell,,,1052.63,280.0,9.7,,
295,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.05,C3H7OH,4.4,,-28.27,H-cell,,,1052.63,280.0,9.7,,
296,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.15,H2,25.5,,-37.73,H-cell,,,1052.63,280.0,9.7,,
297,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.15,CH4,3.3,,-37.73,H-cell,,,1052.63,280.0,9.7,,
298,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.15,C2H4,39.0,,-37.73,H-cell,,,1052.63,280.0,9.7,,
299,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.15,HCOOH,6.2,,-37.73,H-cell,,,1052.63,280.0,9.7,,
300,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.15,C2H5OH,15.0,,-37.73,H-cell,,,1052.63,280.0,9.7,,
301,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.15,C3H7OH,2.2,,-37.73,H-cell,,,1052.63,280.0,9.7,,
302,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.25,H2,29.0,,-45.77,H-cell,,,1052.63,280.0,9.7,,
303,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.25,CH4,3.0,,-45.77,H-cell,,,1052.63,280.0,9.7,,
304,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.25,C2H4,40.9,,-45.77,H-cell,,,1052.63,280.0,9.7,,
305,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.25,HCOOH,3.3,,-45.77,H-cell,,,1052.63,280.0,9.7,,
306,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.25,C2H5OH,11.0,,-45.77,H-cell,,,1052.63,280.0,9.7,,
307,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.25,C3H7OH,1.4,,-45.77,H-cell,,,1052.63,280.0,9.7,,
308,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.35,H2,43.0,,-56.14,H-cell,,,1052.63,280.0,9.7,,
309,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.35,CH4,2.8,,-56.14,H-cell,,,1052.63,280.0,9.7,,
310,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.35,C2H4,36.0,,-56.14,H-cell,,,1052.63,280.0,9.7,,
311,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.35,HCOOH,2.9,,-56.14,H-cell,,,1052.63,280.0,9.7,,
312,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.35,C2H5OH,9.1,,-56.14,H-cell,,,1052.63,280.0,9.7,,
313,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.35,C3H7OH,1.9,,-56.14,H-cell,,,1052.63,280.0,9.7,,
314,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.45,H2,53.1,,-61.07,H-cell,,,1052.63,280.0,9.7,,
315,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.45,CH4,3.8,,-61.07,H-cell,,,1052.63,280.0,9.7,,
316,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.45,C2H4,28.0,,-61.07,H-cell,,,1052.63,280.0,9.7,,
317,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.45,HCOOH,2.2,,-61.07,H-cell,,,1052.63,280.0,9.7,,
318,4.0,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018.0,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,Cu-on-Cu3N,Cu1N0.22,Cu,Cu3N,61.76,sphere,,10.0,17.5,25.0,10.0,17.5,25.0,35.0,65.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.45,C2H5OH,4.8,,-61.07,H-cell,,,1052.63,280.0,9.7,,
319,6.0,"Xintong Yuan, Sai Chen, Dongfang Cheng, Lulu Li, Wenjin Zhu, Dazhong Zhong, Prof. Dr. Zhi-Jian Zhao, Prof. Dr. Jingkun Li, Tuo Wang, Prof. Dr. Jinlong Gong",2021.0,Controllable Cu0-Cu+ Sites for Electrocatalytic Reduction of Carbon Dioxide,Angewandte Chemie International,16.1,https://doi.org/10.1002/anie.202105118,,,Cu2O,CuSiO3,2.0,nanorod,,1.5,3.2,4.5,,,,,,,glassy-carbon electrode,KHCO3,0.1,6.8,-0.8,H2,67.92,,-3.06,H-cell,,,,13530.0,,,
320,6.0,"Xintong Yuan, Sai Chen, Dongfang Cheng, Lulu Li, Wenjin Zhu, Dazhong Zhong, Prof. Dr. Zhi-Jian Zhao, Prof. Dr. Jingkun Li, Tuo Wang, Prof. Dr. Jinlong Gong",2021.0,Controllable Cu0-Cu+ Sites for Electrocatalytic Reduction of Carbon Dioxide,Angewandte Chemie International,16.1,https://doi.org/10.1002/anie.202105118,,,Cu2O,CuSiO3,2.0,nanorod,,1.5,3.2,4.5,,,,,,,glassy-carbon electrode,KHCO3,0.1,6.8,-0.8,CO,4.1,,-3.06,H-cell,,,,13530.0,,,
321,6.0,"Xintong Yuan, Sai Chen, Dongfang Cheng, Lulu Li, Wenjin Zhu, Dazhong Zhong, Prof. Dr. Zhi-Jian Zhao, Prof. Dr. Jingkun Li, Tuo Wang, Prof. Dr. Jinlong Gong",2021.0,Controllable Cu0-Cu+ Sites for Electrocatalytic Reduction of Carbon Dioxide,Angewandte Chemie International,16.1,https://doi.org/10.1002/anie.202105118,,,Cu2O,CuSiO3,2.0,nanorod,,1.5,3.2,4.5,,,,,,,glassy-carbon electrode,KHCO3,0.1,6.8,-0.8,CH4,1.37,,-3.06,H-cell,,,,13530.0,,,
322,6.0,"Xintong Yuan, Sai Chen, Dongfang Cheng, Lulu Li, Wenjin Zhu, Dazhong Zhong, Prof. Dr. Zhi-Jian Zhao, Prof. Dr. Jingkun Li, Tuo Wang, Prof. Dr. Jinlong Gong",2021.0,Controllable Cu0-Cu+ Sites for Electrocatalytic Reduction of Carbon Dioxide,Angewandte Chemie International,16.1,https://doi.org/10.1002/anie.202105118,,,Cu2O,CuSiO3,2.0,nanorod,,1.5,3.2,4.5,,,,,,,glassy-carbon electrode,KHCO3,0.1,6.8,-0.8,C2H4,5.63,,-3.06,H-cell,,,,13530.0,,,
323,6.0,"Xintong Yuan, Sai Chen, Dongfang Cheng, Lulu Li, Wenjin Zhu, Dazhong Zhong, Prof. Dr. Zhi-Jian Zhao, Prof. Dr. Jingkun Li, Tuo Wang, Prof. Dr. Jinlong Gong",2021.0,Controllable Cu0-Cu+ Sites for Electrocatalytic Reduction of Carbon Dioxide,Angewandte Chemie International,16.1,https://doi.org/10.1002/anie.202105118,,,Cu2O,CuSiO3,2.0,nanorod,,1.5,3.2,4.5,,,,,,,glassy-carbon electrode,KHCO3,0.1,6.8,-0.8,C2H5OH,0.85,,-3.06,H-cell,,,,13530.0,,,
324,6.0,"Xintong Yuan, Sai Chen, Dongfang Cheng, Lulu Li, Wenjin Zhu, Dazhong Zhong, Prof. Dr. Zhi-Jian Zhao, Prof. Dr. Jingkun Li, Tuo Wang, Prof. Dr. Jinlong Gong",2021.0,Controllable Cu0-Cu+ Sites for Electrocatalytic Reduction of Carbon Dioxide,Angewandte Chemie International,16.1,https://doi.org/10.1002/anie.202105118,,,Cu2O,CuSiO3,2.0,nanorod,,1.5,3.2,4.5,,,,,,,glassy-carbon electrode,KHCO3,0.1,6.8,-0.9,H2,66.55,,-4.11,H-cell,,,,13530.0,,,
325,6.0,"Xintong Yuan, Sai Chen, Dongfang Cheng, Lulu Li, Wenjin Zhu, Dazhong Zhong, Prof. Dr. Zhi-Jian Zhao, Prof. Dr. Jingkun Li, Tuo Wang, Prof. Dr. Jinlong Gong",2021.0,Controllable Cu0-Cu+ Sites for Electrocatalytic Reduction of Carbon Dioxide,Angewandte Chemie International,16.1,https://doi.org/10.1002/anie.202105118,,,Cu2O,CuSiO3,2.0,nanorod,,1.5,3.2,4.5,,,,,,,glassy-carbon electrode,KHCO3,0.1,6.8,-0.9,CO,7.0,,-4.11,H-cell,,,,13530.0,,,
